icd10;entity_level_10;entity_level_11;entity_level_12;entity_level_13;entity_level_20;entity_level_30
c917;980;990;970;430;400;403
c918;980;990;970;430;400;403
c919;980;990;970;430;400;403
c92;980;990;970;430;400;406
c920;980;990;970;430;400;404
c921;980;990;970;430;400;405
c922;980;990;970;430;400;406
c923;980;990;970;430;400;404
c924;980;990;970;430;400;404
c925;980;990;970;430;400;404
c926;980;990;970;430;400;404
c927;980;990;970;430;400;406
c928;980;990;970;430;400;406
c929;980;990;970;430;400;406
c93;980;990;970;430;400;406
c930;980;990;970;430;400;404
c931;980;990;970;430;400;405
c932;980;990;970;430;400;406
c933;980;990;970;430;400;406
c937;980;990;970;430;400;406
c939;980;990;970;430;400;406
c94;980;990;970;430;400;406
c940;980;990;970;430;400;404
c941;980;990;970;430;400;405
c942;980;990;970;430;400;404
c943;980;990;970;430;400;406
c944;980;990;970;430;400;406
c946;980;990;970;430;400;394
c947;980;990;970;430;400;406
c95;980;990;970;430;400;407
c950;980;990;970;430;400;407
c951;980;990;970;430;400;407
c957;980;990;970;430;400;407
c959;980;990;970;430;400;407
c96;980;990;970;430;;360
c960;980;990;970;430;;360
c961;980;990;970;430;;360
c962;980;990;970;430;;360
c963;980;990;970;430;;360
c964;980;990;970;430;;360
c965;980;990;970;430;;360
c966;980;990;970;430;;360
c967;980;990;970;430;;360
c968;980;990;970;430;;360
c969;980;990;970;430;;360
c97;980;990;970;;;420
d00;;;;;;999
d000;;;;;;999
d001;;;;;;999
d002;;;;;;999
d01;;;;;;999
d010;;;;;;999
d011;;;;;;999
d012;;;;;;999
d013;;;;;;999
d014;;;;;;999
d015;;;;;;999
d017;;;;;;999
d019;;;;;;999
d02;;;;;;999
d020;;;;;;999
d021;;;;;;999
d022;;;;;;999
d023;;;;;;999
d024;;;;;;999
d03;;;;;;999
d030;;;;;;999
d031;;;;;;999
d032;;;;;;999
d033;;;;;;999
d034;;;;;;999
d035;;;;;;999
d036;;;;;;999
d037;;;;;;999
d038;;;;;;999
d039;;;;;;999
d04;;;;;;999
d040;;;;;;999
d041;;;;;;999
d042;;;;;;999
d043;;;;;;999
d044;;;;;;999
d045;;;;;;999
d046;;;;;;999
d047;;;;;;999
d048;;;;;;999
d049;;;;;;999
d05;;;;;;999
d050;;;;;;999
d051;;;;;;999
d057;;;;;;999
d059;;;;;;999
d06;;;;;;999
d060;;;;;;999
d061;;;;;;999
d067;;;;;;999
d069;;;;;;999
d07;;;;;;999
d070;;;;;;999
d071;;;;;;999
d072;;;;;;999
d073;;;;;;999
d074;;;;;;999
d075;;;;;;999
d076;;;;;;999
d09;;;;;;999
d090;980;990;970;;;280
d091;980;990;970;;;280
d092;;;;;;999
d093;;;;;;999
d097;;;;;;999
d099;;;;;;999
d10;;;;;;999
d100;;;;;;999
d101;;;;;;999
d102;;;;;;999
d103;;;;;;999
d104;;;;;;999
d105;;;;;;999
d106;;;;;;999
d107;;;;;;999
d109;;;;;;999
d11;;;;;;999
d110;;;;;;999
d117;;;;;;999
d119;;;;;;999
d12;;;;;;999
d120;;;;;;999
d121;;;;;;999
d122;;;;;;999
d123;;;;;;999
d124;;;;;;999
d125;;;;;;999
d126;;;;;;999
d127;;;;;;999
d128;;;;;;999
d129;;;;;;999
d13;;;;;;999
d130;;;;;;999
d131;;;;;;999
d132;;;;;;999
d133;;;;;;999
d134;;;;;;999
d135;;;;;;999
d136;;;;;;999
d137;;;;;;999
d139;;;;;;999
d14;;;;;;999
d140;;;;;;999
d141;;;;;;999
d142;;;;;;999
d143;;;;;;999
d144;;;;;;999
d15;;;;;;999
d150;;;;;;999
d151;;;;;;999
d152;;;;;;999
d157;;;;;;999
d159;;;;;;999
d16;;;;;;999
d160;;;;;;999
d161;;;;;;999
d162;;;;;;999
d163;;;;;;999
d164;;;;;;999
d165;;;;;;999
d166;;;;;;999
d167;;;;;;999
d168;;;;;;999
d169;;;;;;999
d17;;;;;;999
d170;;;;;;999
d171;;;;;;999
d172;;;;;;999
d173;;;;;;999
d174;;;;;;999
d175;;;;;;999
d176;;;;;;999
d177;;;;;;999
d179;;;;;;999
d18;;;;;;999
d180;;;;;;999
d181;;;;;;999
d19;;;;;;999
d190;;;;;;999
d191;;;;;;999
d197;;;;;;999
d199;;;;;;999
d20;;;;;;999
d200;;;;;;999
d201;;;;;;999
d21;;;;;;999
d210;;;;;;999
d211;;;;;;999
d212;;;;;;999
d213;;;;;;999
d214;;;;;;999
d215;;;;;;999
d216;;;;;;999
d219;;;;;;999
d22;;;;;;999
d220;;;;;;999
d221;;;;;;999
d222;;;;;;999
d223;;;;;;999
d224;;;;;;999
d225;;;;;;999
d226;;;;;;999
d227;;;;;;999
d229;;;;;;999
d23;;;;;;999
d230;;;;;;999
d231;;;;;;999
d232;;;;;;999
d233;;;;;;999
d234;;;;;;999
d235;;;;;;999
d236;;;;;;999
d237;;;;;;999
d239;;;;;;999
d24;;;;;;999
d25;;;;;;999
d250;;;;;;999
d251;;;;;;999
d252;;;;;;999
d259;;;;;;999
d26;;;;;;999
d260;;;;;;999
d261;;;;;;999
d267;;;;;;999
d269;;;;;;999
d27;;;;;;999
d28;;;;;;999
d280;;;;;;999
d281;;;;;;999
d282;;;;;;999
d287;;;;;;999
d289;;;;;;999
d29;;;;;;999
d290;;;;;;999
d291;;;;;;999
d292;;;;;;999
d293;;;;;;999
d294;;;;;;999
d297;;;;;;999
d299;;;;;;999
d30;980;990;970;;;280
d300;;;;;;999
d301;980;990;970;;;280
d302;980;990;970;;;280
d303;980;990;970;;;280
d304;980;990;970;;;280
